"contact_id","first_name","last_name","email","category_id","category","subcategory_id","subcategory","cf_id","company_name","description","goal","pledged","outcome","backers_count","country","currency","launch_date","end_date"
3064,"Tatiana","Thompson","tatiana.thompson@hunt.net","cat5","film & video","subcat7","drama",2340,"Green Ltd","Monitored empowering installation",5200,13838,"successful",220,"US","USD","2020-07-11","2021-08-02"
4904,"Caleb","Benavides","caleb.benavides@rubio.com","cat4","theater","subcat4","plays",601,"Perez, Johnson and Gardner","Grass-roots zero administration system engine",6300,3030,"failed",27,"US","USD","2020-08-11","2021-06-26"
1299,"Sandra","Hardy","sandra.hardy@web.de","cat5","film & video","subcat7","drama",1950,"Kim Ltd","Assimilated hybrid intranet",6300,5629,"failed",55,"US","USD","2020-11-14","2021-04-09"
5602,"Lotti","Morris","lotti.morris@yahoo.co.uk","cat2","music","subcat8","indie rock",671,"Walker, Taylor and Coleman","Multi-tiered directional open architecture",4200,10295,"successful",98,"US","USD","2020-11-11","2021-11-06"
5753,"Reinhilde","White","reinhilde.white@voila.fr","cat2","music","subcat8","indie rock",1683,"Rodriguez, Rose and Stewart","Cloned directional synergy",28200,18829,"failed",200,"US","USD","2021-11-14","2022-01-02"
4495,"Kerry","Patel","kerry.patel@hutchinson.com","cat3","technology","subcat9","wearables",505,"Wright, Hunt and Rowe","Extended eco-centric pricing structure",81200,38414,"failed",452,"US","USD","2021-10-25","2021-12-16"
4269,"Sophie","Antoine","sophie.antoine@andersen.com","cat6","publishing","subcat10","nonfiction",1245,"Hines Inc","Cross-platform systemic adapter",1700,11041,"successful",100,"US","USD","2021-08-20","2021-12-22"
2226,"Martha","Girard","martha.girard@web.de","cat5","film & video","subcat11","animation",2550,"Cochran-Nguyen","Seamless 4thgeneration methodology",84600,134845,"successful",1249,"US","USD","2020-04-12","2021-03-24"
1558,"Stephanie","King","stephanie.king@cervantes.com","cat4","theater","subcat4","plays",875,"Johnson-Gould","Exclusive needs-based adapter",9100,6089,"canceled",135,"US","USD","2021-03-24","2022-01-27"
2307,"Amanda","Palmer","amanda.palmer@didier.fr","cat4","theater","subcat4","plays",2283,"Perez-Hess","Down-sized cohesive archive",62500,30331,"failed",674,"US","USD","2021-10-12","2021-11-17"
2900,"Lina","Alcala","lina.alcala@vespa.net","cat5","film & video","subcat7","drama",118,"Reeves, Thompson and Richardson","Proactive composite alliance",131800,147936,"successful",1396,"US","USD","2020-04-12","2021-04-09"
5695,"Itzel","Murphy","itzel.murphy@muelichen.de","cat4","theater","subcat4","plays",711,"Simmons-Reynolds","Re-engineered intangible definition",94000,38533,"failed",558,"US","USD","2021-03-14","2021-04-29"
5708,"Filippo","Parry","filippo.parry@live.com","cat4","theater","subcat4","plays",1747,"Collier Inc","Enhanced dynamic definition",59100,75690,"successful",890,"US","USD","2020-07-06","2021-08-04"
1663,"Katelyn","Cole","katelyn.cole@fiebig.com","cat5","film & video","subcat5","documentary",1825,"Gray-Jenkins","Devolved next generation adapter",4500,14942,"successful",142,"GB","GBP","2021-07-23","2021-09-12"
3605,"Brian","Novak","brian.novak@ford.net","cat3","technology","subcat9","wearables",1019,"Scott, Wilson and Martin","Cross-platform intermediate frame",92400,104257,"successful",2673,"US","USD","2021-05-01","2021-10-01"
4678,"Cilly","Gay","cilly.gay@callegaro.it","cat7","games","subcat12","video games",821,"Caldwell, Velazquez and Wilson","Monitored impactful analyzer",5500,11904,"successful",163,"US","USD","2020-10-09","2021-05-23"
2251,"Yolanda","Snyder","yolanda.snyder@gmx.de","cat4","theater","subcat4","plays",2653,"Spencer-Bates","Optional responsive customer loyalty",107500,51814,"canceled",1480,"US","USD","2020-11-20","2021-07-27"
6202,"Evelin","Odonnell","evelin.odonnell@ibarra.net","cat2","music","subcat2","rock",2502,"Best, Carr and Williams","Diverse transitional migration",2000,1599,"failed",15,"US","USD","2021-01-08","2021-10-15"
3715,"Ingeborg","Alba","ingeborg.alba@hotmail.com","cat4","theater","subcat4","plays",325,"Campbell, Brown and Powell","Synchronized global task-force",130800,137635,"successful",2220,"US","USD","2020-12-23","2021-12-23"
4242,"Marina","Madrid","marina.madrid@galarza-alba.com","cat5","film & video","subcat13","shorts",1345,"Johnson, Parker and Haynes","Focused 6thgeneration forecast",45900,150965,"successful",1606,"CH","CHF","2020-11-06","2021-08-27"
4326,"Sheila","Goodwin","sheila.goodwin@yahoo.com","cat5","film & video","subcat11","animation",2303,"Clark-Cooke","Down-sized analyzing challenge",9000,14455,"successful",129,"US","USD","2020-10-28","2021-02-15"
5560,"Valeria","Rich","valeria.rich@turchetta-mondadori.it","cat7","games","subcat12","video games",2224,"Schroeder Ltd","Progressive needs-based focus group",3500,10850,"successful",226,"GB","GBP","2020-11-25","2021-02-05"
4002,"Dustin","Camacho","dustin.camacho@rhodes.org.au","cat5","film & video","subcat5","documentary",1173,"Jackson PLC","Ergonomic 6thgeneration success",101000,87676,"failed",2307,"IT","EUR","2021-02-21","2021-11-26"
3813,"Amalia","Marenzio","amalia.marenzio@grupo.com","cat4","theater","subcat4","plays",210,"Blair, Collins and Carter","Exclusive interactive approach",50200,189666,"successful",5419,"US","USD","2021-04-04","2021-12-09"
5336,"Gian","Long","gian.long@hotmail.com","cat5","film & video","subcat5","documentary",1546,"Maldonado and Sons","Reverse-engineered asynchronous archive",9300,14025,"successful",165,"US","USD","2021-01-26","2021-12-10"
4994,"Stewart","Hunt","stewart.hunt@anderson-vargas.biz","cat5","film & video","subcat7","drama",2871,"Mitchell and Sons","Synergized intangible challenge",125500,188628,"successful",1965,"DK","DKK","2021-03-16","2021-03-25"
1471,"Greca","Ruiz","greca.ruiz@carr.co.uk","cat4","theater","subcat4","plays",2034,"Jackson-Lewis","Monitored multi-state encryption",700,1101,"successful",16,"US","USD","2021-04-07","2021-11-26"
4482,"Gerald","Olivera","gerald.olivera@outlook.com","cat6","publishing","subcat14","fiction",2677,"Black, Armstrong and Anderson","Profound attitude-oriented functionalities",8100,11339,"successful",107,"US","USD","2020-11-20","2021-10-18"
3241,"Jaqueline","Wallace","jaqueline.wallace@gmail.com","cat8","photography","subcat15","photography books",1865,"Maldonado-Gonzalez","Digitized client-driven database",3100,10085,"successful",134,"US","USD","2021-08-23","2022-01-10"
3477,"John","Lane","john.lane@gregoire.fr","cat4","theater","subcat4","plays",170,"Kim-Rice","Organized bi-directional function",9900,5027,"failed",88,"DK","DKK","2021-04-14","2021-05-01"
2265,"Pero","Joly","pero.joly@bernard.net","cat3","technology","subcat9","wearables",462,"Garcia, Garcia and Lopez","Reduced stable middleware",8800,14878,"successful",198,"US","USD","2020-11-18","2021-03-18"
5911,"Chad","Turner","chad.turner@gmail.com","cat2","music","subcat2","rock",3122,"Watts Group","Universal 5thgeneration neural-net",5600,11924,"successful",111,"IT","EUR","2021-03-17","2021-07-08"
2288,"Adam","Zavala","adam.zavala@guichard.fr","cat1","food","subcat1","food trucks",1175,"Werner-Bryant","Virtual uniform frame",1800,7991,"successful",222,"US","USD","2020-06-20","2021-01-30"
4064,"Tyler","Rivera","tyler.rivera@guajardo-ozuna.com","cat6","publishing","subcat16","radio & podcasts",2301,"Schmitt-Mendoza","Profound explicit paradigm",90200,167717,"successful",6212,"US","USD","2020-11-14","2021-07-06"
1294,"Jens","Graham","jens.graham@jones-buckley.com","cat6","publishing","subcat14","fiction",91,"Reid-Mccullough","Visionary real-time groupware",1600,10541,"successful",98,"DK","DKK","2020-11-25","2021-03-01"
5008,"Virginia","Caetani","virginia.caetani@sosa.biz","cat4","theater","subcat4","plays",87,"Woods-Clark","Networked tertiary Graphical User Interface",9500,4530,"failed",48,"US","USD","2021-01-18","2021-03-20"
3604,"Martino","Wagner","martino.wagner@laposte.net","cat2","music","subcat2","rock",1482,"Vaughn, Hunt and Caldwell","Virtual grid-enabled task-force",3700,4247,"successful",92,"US","USD","2021-05-23","2021-09-23"
3263,"Martin","Meyer","martin.meyer@davis.co.uk","cat4","theater","subcat4","plays",1711,"Bennett and Sons","Function-based multi-state software",1500,7129,"successful",149,"US","USD","2020-12-18","2021-06-27"
5631,"Marguerite","Walls","marguerite.walls@martinez.fr","cat4","theater","subcat4","plays",2294,"Lamb Inc","Optimized leadingedge concept",33300,128862,"successful",2431,"US","USD","2021-02-22","2021-11-10"
2851,"Peter","Vogt","peter.vogt@yahoo.com","cat2","music","subcat2","rock",2389,"Casey-Kelly","Sharable holistic interface",7200,13653,"successful",303,"US","USD","2021-01-25","2022-01-30"
3714,"Nicholas","Christian","nicholas.christian@hotmail.de","cat2","music","subcat17","metal",378,"Jones, Taylor and Moore","Down-sized system-worthy secured line",100,2,"failed",1,"IT","EUR","2021-10-08","2021-11-03"
1664,"Susi","Steinberg","susi.steinberg@preiss.com","cat3","technology","subcat9","wearables",1213,"Bradshaw, Gill and Donovan","Inverse secondary infrastructure",158100,145243,"failed",1467,"GB","GBP","2020-09-07","2021-07-29"
5027,"Tammy","Ramazzotti","tammy.ramazzotti@gmail.com","cat4","theater","subcat4","plays",29,"Hernandez, Rodriguez and Clark","Organic foreground leverage",7200,2459,"failed",75,"US","USD","2021-03-12","2022-01-05"
3070,"Abdul","Thomas","abdul.thomas@vasari.com","cat5","film & video","subcat7","drama",2309,"Smith-Jones","Reverse-engineered static concept",8800,12356,"successful",209,"US","USD","2021-10-14","2021-12-24"
4248,"Justin","Luxardo","justin.luxardo@googlemail.com","cat3","technology","subcat9","wearables",2101,"Roy PLC","Multi-channeled neutral customer loyalty",6000,5392,"failed",120,"US","USD","2021-03-30","2021-05-24"
2034,"Antonio","Gibson","antonio.gibson@faust.net","cat2","music","subcat18","jazz",1057,"Wright, Brooks and Villarreal","Reverse-engineered bifurcated strategy",6600,11746,"successful",131,"US","USD","2021-09-29","2021-11-29"
4085,"Jeremy","Gomez","jeremy.gomez@oconnor.org","cat3","technology","subcat9","wearables",2655,"Flores, Miller and Johnson","Horizontal context-sensitive knowledge user",8000,11493,"successful",164,"US","USD","2021-03-03","2021-05-22"
3569,"Raymond","Solorzano","raymond.solorzano@gmail.com","cat7","games","subcat12","video games",202,"Bridges, Freeman and Kim","Cross-group multi-state task-force",2900,6243,"successful",201,"US","USD","2021-07-23","2021-12-04"
3889,"Flora","Harris","flora.harris@hotmail.com.au","cat4","theater","subcat4","plays",2025,"Anderson-Perez","Expanded 3rdgeneration strategy",2700,6132,"successful",211,"US","USD","2021-02-09","2021-06-11"
3136,"Cheryl","Boyd","cheryl.boyd@segni.it","cat4","theater","subcat4","plays",2395,"Wright, Fox and Marks","Assimilated real-time support",1400,3851,"successful",128,"US","USD","2020-12-10","2021-03-07"
2103,"Rhys","Leiva","rhys.leiva@gmx.de","cat4","theater","subcat4","plays",1418,"Crawford-Peters","User-centric regional database",94200,135997,"successful",1600,"CA","CAD","2020-10-20","2021-08-24"
2329,"Mariano","Prieto","mariano.prieto@vodafone.it","cat4","theater","subcat4","plays",1905,"Romero-Hoffman","Open-source zero administration complexity",199200,184750,"failed",2253,"CA","CAD","2021-06-15","2021-10-26"
3325,"Laurie","Fibonacci","laurie.fibonacci@gmail.com","cat3","technology","subcat3","web",1969,"Sparks-West","Organized incremental standardization",2000,14452,"successful",249,"US","USD","2021-08-19","2021-11-21"
3131,"David","Rudolph","david.rudolph@nelson.com","cat4","theater","subcat4","plays",2430,"Baker, Morgan and Brown","Assimilated didactic open system",4700,557,"failed",5,"US","USD","2021-06-25","2021-07-16"
4995,"Bryan","Ross","bryan.ross@yahoo.com","cat3","technology","subcat3","web",1291,"Mosley-Gilbert","Vision-oriented logistical intranet",2800,2734,"failed",38,"US","USD","2021-05-21","2021-09-23"
3631,"Ubaldo","Brown","ubaldo.brown@philippe.com","cat4","theater","subcat4","plays",1934,"Berry-Boyer","Mandatory incremental projection",6100,14405,"successful",236,"US","USD","2021-02-23","2021-11-20"
5373,"Clelia","Faulkner","clelia.faulkner@hotmail.com","cat4","theater","subcat4","plays",1225,"Sanders-Allen","Grass-roots needs-based encryption",2900,1307,"failed",12,"US","USD","2021-10-05","2021-11-06"
3126,"Sara","Erickson","sara.erickson@yahoo.de","cat3","technology","subcat9","wearables",1363,"Lopez Inc","Team-oriented 6thgeneration middleware",72600,117892,"successful",4065,"GB","GBP","2020-11-03","2021-09-24"
2194,"Rupert","Valle","rupert.valle@filogamo.it","cat4","theater","subcat4","plays",963,"Moreno-Turner","Inverse multi-tasking installation",5700,14508,"successful",246,"IT","EUR","2020-08-10","2021-02-07"
2906,"Puccio","Kitzmann","puccio.kitzmann@yahoo.com","cat4","theater","subcat4","plays",1486,"Jones-Watson","Switchable disintermediate moderator",7900,1901,"canceled",17,"US","USD","2021-06-27","2022-01-17"
2611,"Thomas","Hutchinson","thomas.hutchinson@gmx.de","cat4","theater","subcat4","plays",676,"Barker Inc","Re-engineered 24/7 task-force",128000,158389,"successful",2475,"IT","EUR","2021-08-08","2022-01-30"
2374,"Abelardo","Castro","abelardo.castro@gmail.com","cat4","theater","subcat4","plays",2137,"Tate, Bass and House","Organic object-oriented budgetary management",6000,6484,"successful",76,"US","USD","2021-03-19","2021-06-05"
3254,"Greco","Walker","greco.walker@yahoo.com","cat5","film & video","subcat11","animation",2656,"Hampton, Lewis and Ray","Seamless coherent parallelism",600,4022,"successful",54,"US","USD","2021-07-27","2021-11-30"
3571,"Miranda","Lacombe","miranda.lacombe@longoria-vanegas.net","cat2","music","subcat18","jazz",1556,"Collins-Goodman","Cross-platform even-keeled initiative",1400,9253,"successful",88,"US","USD","2020-05-11","2021-03-09"
2812,"Diana","Schuchhardt","diana.schuchhardt@libero.it","cat2","music","subcat17","metal",747,"Davis-Michael","Progressive tertiary framework",3900,4776,"successful",85,"GB","GBP","2021-06-29","2021-08-27"
3961,"Stacey","Knox","stacey.knox@corporacin.com","cat8","photography","subcat15","photography books",60,"White, Torres and Bishop","Multi-layered dynamic protocol",9700,14606,"successful",170,"US","USD","2021-02-25","2021-03-31"
3872,"Glen","Faivre","glen.faivre@yahoo.com","cat4","theater","subcat4","plays",2459,"Martin, Conway and Larsen","Horizontal next generation function",122900,95993,"failed",1684,"US","USD","2020-12-13","2021-12-26"
4736,"Andrew","Torres","andrew.torres@ruiz-torres.org","cat5","film & video","subcat11","animation",1903,"Acevedo-Huffman","Pre-emptive impactful model",9500,4460,"failed",56,"US","USD","2021-06-17","2021-08-27"
5119,"Denny","Fritz","denny.fritz@despacho.biz","cat6","publishing","subcat19","translations",2003,"Montgomery, Larson and Spencer","User-centric bifurcated knowledge user",4500,13536,"successful",330,"US","USD","2020-12-24","2021-04-16"
5725,"Martyn","Caldera","martyn.caldera@hotmail.co.uk","cat4","theater","subcat4","plays",2885,"Soto LLC","Triple-buffered reciprocal project",57800,40228,"failed",838,"US","USD","2021-06-13","2021-11-18"
4037,"Abigail","Foster","abigail.foster@taylor.net","cat7","games","subcat12","video games",2067,"Sutton, Barrett and Tucker","Cross-platform needs-based approach",1100,7012,"successful",127,"US","USD","2021-06-26","2021-10-21"
2109,"Anthony","Hauffer","anthony.hauffer@tlustek.org","cat2","music","subcat2","rock",1610,"Gomez, Bailey and Flores","User-friendly static contingency",16800,37857,"successful",411,"US","USD","2020-11-01","2021-03-04"
3283,"Roger","Gerlach","roger.gerlach@may-mitchell.co.uk","cat7","games","subcat12","video games",2909,"Porter-George","Reactive content-based framework",1000,14973,"successful",180,"GB","GBP","2020-10-09","2021-11-11"
6181,"Christopher","Poirier","christopher.poirier@hotmail.com","cat2","music","subcat6","electric music",1239,"Fitzgerald PLC","Realigned user-facing concept",106400,39996,"failed",1000,"US","USD","2021-06-25","2021-08-08"
3251,"Branka","Traore","branka.traore@jacobi.com","cat3","technology","subcat9","wearables",2480,"Cisneros-Burton","Public-key zero tolerance orchestration",31400,41564,"successful",374,"US","USD","2021-07-03","2021-10-05"
3443,"Briana","Etienne","briana.etienne@bishop-coates.com","cat2","music","subcat8","indie rock",2181,"Hill, Lawson and Wilkinson","Multi-tiered eco-centric architecture",4900,6430,"successful",71,"AU","AUD","2021-05-29","2021-08-20"
2988,"Brandon","Olson","brandon.olson@prince-moreno.net","cat4","theater","subcat4","plays",2030,"Davis-Smith","Organic motivating firmware",7400,12405,"successful",203,"US","USD","2021-05-16","2021-09-12"
1673,"Celia","Ungaretti","celia.ungaretti@fox.com","cat2","music","subcat2","rock",2311,"Farrell and Sons","Synergized 4thgeneration conglomeration",198500,123040,"failed",1482,"AU","AUD","2020-08-23","2021-03-24"
2085,"Barbara","Guibert","barbara.guibert@casares-sanches.com","cat6","publishing","subcat19","translations",2821,"Clark Group","Grass-roots fault-tolerant policy",4800,12516,"successful",113,"US","USD","2020-07-21","2021-02-22"
1672,"Daniela","Bell","daniela.bell@vollbrecht.org","cat4","theater","subcat4","plays",2468,"White, Singleton and Zimmerman","Monitored scalable knowledgebase",3400,8588,"successful",96,"US","USD","2020-07-23","2021-01-18"
4426,"Phyllis","Gurule","phyllis.gurule@rodriguez-pham.com","cat4","theater","subcat4","plays",656,"Kramer Group","Synergistic explicit parallelism",7800,6132,"failed",106,"US","USD","2021-10-09","2021-11-15"
3211,"Alejandra","Joseph","alejandra.joseph@escalante-abrego.biz","cat6","publishing","subcat19","translations",2791,"Frazier, Patrick and Smith","Enhanced systemic analyzer",154300,74688,"failed",679,"IT","EUR","2020-07-03","2021-06-17"
3190,"Giulio","Bohlander","giulio.bohlander@dbmail.com","cat7","games","subcat12","video games",1527,"Santos, Bell and Lloyd","Object-based analyzing knowledge user",20000,51775,"successful",498,"CH","CHF","2020-08-05","2021-05-15"
2081,"Amber","Weller","amber.weller@toso.eu","cat4","theater","subcat4","plays",1891,"Hall and Sons","Pre-emptive radical architecture",108800,65877,"canceled",610,"US","USD","2020-11-22","2021-12-05"
3185,"Mary","Etzold","mary.etzold@conrad-harrison.com","cat3","technology","subcat3","web",580,"Hanson Inc","Grass-roots web-enabled contingency",2900,8807,"successful",180,"GB","GBP","2021-03-14","2021-08-29"
5044,"Amy","Georges","amy.georges@raedel.de","cat5","film & video","subcat5","documentary",682,"Sanchez LLC","Stand-alone system-worthy standardization",900,1017,"successful",27,"US","USD","2021-08-06","2021-09-05"
1883,"Jennifer","Giraud","jennifer.giraud@yahoo.com","cat4","theater","subcat4","plays",3097,"Howard Ltd","Down-sized systematic policy",69700,151513,"successful",2331,"US","USD","2021-10-18","2021-12-26"
2067,"Rosie","Peltier","rosie.peltier@voila.fr","cat1","food","subcat1","food trucks",873,"Stewart LLC","Cloned bi-directional architecture",1300,12047,"successful",113,"US","USD","2020-11-29","2021-06-11"
4604,"Oreste","Ward","oreste.ward@proyectos.com","cat7","games","subcat12","video games",1668,"Arias, Allen and Miller","Seamless transitional portal",97800,32951,"failed",1220,"AU","AUD","2021-02-14","2021-11-03"
3203,"Luis","Edwards","luis.edwards@live.com","cat4","theater","subcat4","plays",3076,"Baker-Morris","Fully-configurable motivating approach",7600,14951,"successful",164,"US","USD","2020-08-23","2021-02-06"
5758,"Fiona","Griffiths","fiona.griffiths@curatoli-verdone.it","cat4","theater","subcat4","plays",3146,"Tucker, Fox and Green","Upgradable fault-tolerant approach",100,1,"failed",1,"US","USD","2021-06-22","2021-10-23"
5755,"Sally","Raya","sally.raya@tarchetti.it","cat2","music","subcat6","electric music",253,"Douglas LLC","Reduced heuristic moratorium",900,9193,"successful",164,"US","USD","2021-10-06","2022-01-27"
5150,"Carolyn","Charpentier","carolyn.charpentier@hotmail.de","cat3","technology","subcat9","wearables",3088,"Garcia Inc","Front-line web-enabled model",3700,10422,"successful",336,"US","USD","2020-09-18","2021-08-18"
4181,"Nathalie","Alvarez","nathalie.alvarez@live.com","cat2","music","subcat6","electric music",393,"Frye, Hunt and Powell","Polarized incremental emulation",10000,2461,"failed",37,"IT","EUR","2021-05-10","2021-08-03"
3006,"Abril","Lowery","abril.lowery@novak.net","cat2","music","subcat8","indie rock",2912,"Smith, Wells and Nguyen","Self-enabling grid-enabled initiative",119200,170623,"successful",1917,"US","USD","2021-07-09","2021-10-15"
4865,"Ottone","Sullivan","ottone.sullivan@hussain-kaur.com","cat3","technology","subcat3","web",478,"Charles-Johnson","Total fresh-thinking system engine",6800,9829,"successful",95,"US","USD","2020-10-08","2021-07-23"
2862,"Esmeralda","Sollima","esmeralda.sollima@visintini.it","cat4","theater","subcat4","plays",1061,"Brandt, Carter and Wood","Ameliorated clear-thinking circuit",3900,14006,"successful",147,"US","USD","2021-03-05","2021-05-19"
6070,"Silvia","Gierschner","silvia.gierschner@tele2.it","cat4","theater","subcat4","plays",2957,"Tucker, Schmidt and Reid","Multi-layered encompassing installation",3500,6527,"successful",86,"US","USD","2021-05-07","2021-12-28"
5300,"Kyle","Cunningham","kyle.cunningham@voila.fr","cat5","film & video","subcat5","documentary",2015,"Decker Inc","Universal encompassing implementation",1500,8929,"successful",83,"US","USD","2020-10-14","2021-07-23"
3486,"Anel","Carpentier","anel.carpentier@klein-joseph.org","cat5","film & video","subcat20","television",1179,"Romero and Sons","Object-based client-server application",5200,3079,"failed",60,"US","USD","2020-10-01","2021-06-12"
5989,"Sarah","Davis","sarah.davis@david.com","cat1","food","subcat1","food trucks",2568,"Castillo-Carey","Cross-platform solution-oriented process improvement",142400,21307,"failed",296,"US","USD","2020-05-05","2021-05-30"
2849,"Luke","Klein","luke.klein@hotmail.com","cat6","publishing","subcat16","radio & podcasts",2869,"Hart-Briggs","Re-engineered user-facing approach",61400,73653,"successful",676,"US","USD","2021-03-17","2021-10-27"
1612,"Gudrun","Mueller","gudrun.mueller@dillon-fuller.info","cat3","technology","subcat3","web",718,"Jones-Meyer","Re-engineered client-driven hub",4700,12635,"successful",361,"AU","AUD","2020-10-24","2021-04-12"
3307,"Melissa","Canali","melissa.canali@libero.it","cat1","food","subcat1","food trucks",1211,"Wright, Hartman and Yu","User-friendly tertiary array",3300,12437,"successful",131,"US","USD","2021-01-29","2021-02-13"
5288,"Gabrielle","Ayala","gabrielle.ayala@hotmail.com","cat3","technology","subcat9","wearables",2431,"Harper-Davis","Robust heuristic encoding",1900,13816,"successful",126,"US","USD","2021-07-02","2021-12-31"
6026,"Laura","Buckley","laura.buckley@ryan.org","cat6","publishing","subcat14","fiction",468,"Barrett PLC","Team-oriented clear-thinking capacity",166700,145382,"failed",3304,"IT","EUR","2021-03-20","2021-04-16"
2212,"Wilfrido","Lorch","wilfrido.lorch@leclerc.fr","cat4","theater","subcat4","plays",1862,"David-Clark","De-engineered motivating standardization",7200,6336,"failed",73,"US","USD","2021-09-02","2021-12-31"
4591,"Robert","Bruder","robert.bruder@manzoni.com","cat5","film & video","subcat20","television",2300,"Chaney-Dennis","Business-focused 24hour groupware",4900,8523,"successful",275,"US","USD","2021-06-18","2021-12-31"
2771,"Phillip","Soliz","phillip.soliz@outlook.com","cat8","photography","subcat15","photography books",449,"Robinson, Lopez and Christensen","Organic next generation protocol",5400,6351,"successful",67,"US","USD","2020-10-07","2021-10-17"
5682,"Alex","Smith","alex.smith@fournier.fr","cat5","film & video","subcat5","documentary",283,"Clark and Sons","Reverse-engineered full-range Internet solution",5000,10748,"successful",154,"US","USD","2021-07-27","2021-11-01"
5368,"Jessica","Martinez","jessica.martinez@salieri.com","cat7","games","subcat21","mobile games",2484,"Vega Group","Synchronized regional synergy",75100,112272,"successful",1782,"US","USD","2021-04-15","2021-10-08"
3706,"Kelly","Carter","kelly.carter@hotmail.com.au","cat7","games","subcat12","video games",1490,"Brown-Brown","Multi-lateral homogeneous success",45300,99361,"successful",903,"US","USD","2020-06-21","2021-04-14"
4034,"Ahmad","Sosa","ahmad.sosa@gmail.com","cat6","publishing","subcat14","fiction",186,"Taylor PLC","Seamless zero-defect solution",136800,88055,"failed",3387,"US","USD","2020-05-21","2021-01-28"
3209,"Toralf","Iglesias","toralf.iglesias@borrego.com","cat4","theater","subcat4","plays",2999,"Edwards-Lewis","Enhanced scalable concept",177700,33092,"failed",662,"CA","CAD","2022-01-15","2022-02-03"
2384,"Irene","Anichini","irene.anichini@yahoo.com","cat8","photography","subcat15","photography books",2819,"Stanton, Neal and Rodriguez","Polarized uniform software",2600,9562,"successful",94,"IT","EUR","2020-07-19","2021-02-28"
3074,"Alicia","Cainero","alicia.cainero@yahoo.com","cat4","theater","subcat4","plays",2105,"Pratt LLC","Stand-alone web-enabled moderator",5300,8475,"successful",180,"US","USD","2020-05-10","2021-05-02"
2031,"Tracey","Laboy","tracey.laboy@bell.biz","cat4","theater","subcat4","plays",1324,"Gross PLC","Proactive methodical benchmark",180200,69617,"failed",774,"US","USD","2020-03-24","2021-03-11"
5873,"Donald","Reynaud","donald.reynaud@green.edu.au","cat4","theater","subcat4","plays",1952,"Martinez, Gomez and Dalton","Team-oriented 6thgeneration matrix",103200,53067,"failed",672,"CA","CAD","2021-03-03","2021-06-16"
5501,"Venancio","Stadelmann","venancio.stadelmann@gmx.de","cat2","music","subcat2","rock",2404,"Allen-Curtis","Phased human-resource core",70600,42596,"canceled",532,"US","USD","2020-09-13","2021-09-17"
3489,"Seth","Olivier","seth.olivier@yahoo.com","cat1","food","subcat1","food trucks",990,"Morgan-Martinez","Mandatory tertiary implementation",148500,4756,"canceled",55,"AU","AUD","2021-03-23","2021-12-06"
4210,"Dennis","Boaga","dennis.boaga@gmx.de","cat5","film & video","subcat7","drama",1459,"Luna, Anderson and Fox","Secured directional encryption",9600,14925,"successful",533,"DK","DKK","2020-10-10","2021-07-13"
